request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Requested 2191000 IDR on 2026-01-03: 2191000 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2026-01-03. Plan: 2026-01-03:2191000."
request_52,14235.26,not_affordable,not_recommended,none,,none,"Requested 28870 INR on 2024-06-05: 14235.26 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_53,0,not_affordable,not_recommended,none,,none,"Requested 1699.20 USD on 2025-11-07: 0 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_54,6382.81,not_affordable,not_recommended,none,,none,"Requested 121528 ZAR on 2026-07-04: 6382.81 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_55,0,not_affordable,not_recommended,none,,none,"Requested 218600 INR on 2026-06-08: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_56,721.39,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,,reduce_to:event_5245:53.50,"Requested 881.56 USD on 2025-02-03: 721.39 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_with_plan, method installments). Full payment earliest safe: not in forecast. Plan: 2025-02-03:458.42|2025-03-03:458.42. Requires spending changes: reduce_to:event_5245:53.50."
request_57,0,not_affordable,not_recommended,none,,none,"Requested 61446 ZAR on 2026-04-05: 0 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Requested 16226000 IDR on 2024-12-07: 16226000 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2024-12-07. Plan: 2024-12-07:16226000."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Requested 140600 INR on 2025-05-04: 140600 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_with_plan, method installments). Full payment earliest safe: 2025-05-04. Plan: 2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33."
request_60,0,not_affordable,not_recommended,none,,none,"Requested 199.89 USD on 2026-01-06: 0 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Requested 29062 ZAR on 2024-03-03: 29062 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_with_plan, method installments). Full payment earliest safe: 2024-03-03. Plan: 2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Requested 404.23 USD on 2025-08-05: 404.23 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2025-08-05. Plan: 2025-08-05:404.23."
request_63,0,not_affordable,not_recommended,none,,none,"Requested 343900 INR on 2026-07-07: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_64,0,not_affordable,not_recommended,none,,none,"Requested 63700 INR on 2024-06-04: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_65,0,not_affordable,not_recommended,none,,none,"Requested 54340 ZAR on 2025-11-06: 0 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Requested 22200 INR on 2026-04-03: 22200 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2026-04-03. Plan: 2026-04-03:22200."
request_67,0,not_affordable,not_recommended,none,,none,"Requested 2094 USD on 2024-09-05: 0 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_68,0,not_affordable,not_recommended,none,,none,"Requested 2091.60 USD on 2025-02-07: 0 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_69,0,not_affordable,not_recommended,none,,none,"Requested 529.10 EUR on 2026-01-04: 0 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_70,0,not_affordable,not_recommended,none,,none,"Requested 243900 INR on 2024-12-06: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_71,0,not_affordable,not_recommended,none,,none,"Requested 21451000 IDR on 2025-05-03: 0 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_72,0,not_affordable,not_recommended,none,,none,"Requested 11330 ZAR on 2026-07-05: 0 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_73,0,not_affordable,not_recommended,none,,none,"Requested 71400 INR on 2023-01-20: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Requested 5010 ZAR on 2025-08-04: 5010 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2025-08-04. Plan: 2025-08-04:5010."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Requested 28270 ZAR on 2026-04-06: 28270 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_with_plan, method installments). Full payment earliest safe: 2026-04-06. Plan: 2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27."
request_76,0,not_affordable,not_recommended,none,,none,"Requested 4455.60 USD on 2024-06-03: 0 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_77,0,not_affordable,not_recommended,none,,none,"Requested 60700 INR on 2025-11-05: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_78,0,not_affordable,not_recommended,none,,none,"Requested 50200 INR on 2025-10-02: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_79,0,not_affordable,not_recommended,none,,none,"Requested 2151.60 EUR on 2024-09-04: 0 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_80,0,not_affordable,not_recommended,none,,none,"Requested 217500 INR on 2025-02-06: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_81,0,not_affordable,not_recommended,none,,none,"Requested 2076 USD on 2026-07-03: 0 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_82,0,not_affordable,not_recommended,none,,none,"Requested 1405.20 USD on 2024-12-05: 0 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_83,9740.32,not_affordable,not_recommended,none,,none,"Requested 156200 INR on 2025-05-07: 9740.32 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_84,0,not_affordable,not_recommended,none,,none,"Requested 95400 INR on 2026-04-04: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_85,0,not_affordable,not_recommended,none,,none,"Requested 19304000 IDR on 2024-03-06: 0 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_86,0,not_affordable,not_recommended,none,,none,"Requested 46300 INR on 2025-08-03: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_87,29115.63,not_affordable,not_recommended,none,,none,"Requested 487900 INR on 2026-01-05: 29115.63 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_88,0,not_affordable,not_recommended,none,,none,"Requested 26092 ZAR on 2024-06-07: 0 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_89,0,not_affordable,not_recommended,none,,none,"Requested 13756000 IDR on 2025-11-04: 0 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Requested 2560 ZAR on 2026-07-06: 2560 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2026-07-06. Plan: 2026-07-06:2560."
request_91,0,not_affordable,not_recommended,none,,none,"Requested 1927.20 EUR on 2024-09-03: 0 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Requested 34034 ZAR on 2025-02-05: 34034 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2025-02-05. Plan: 2025-02-05:34034."
request_93,0,not_affordable,not_recommended,none,,none,"Requested 1729.20 USD on 2026-04-07: 0 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_94,369.49,affordable_with_plan,full_payment,2024-12-04:572,,stop:event_8765|reduce_to:event_8800:20,"Requested 572 EUR on 2024-12-04: 369.49 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_with_plan, method full_payment). Full payment earliest safe: not in forecast. Plan: 2024-12-04:572. Requires spending changes: stop:event_8765|reduce_to:event_8800:20."
request_95,0,not_affordable,not_recommended,none,,none,"Requested 553000 INR on 2025-05-06: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_96,4133.50,not_affordable,not_recommended,none,,none,"Requested 90200 INR on 2026-01-03: 4133.50 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_97,0,not_affordable,not_recommended,none,,none,"Requested 23496 ZAR on 2024-03-05: 0 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_98,0,not_affordable,not_recommended,none,,none,"Requested 27148 ZAR on 2025-08-07: 0 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Requested 18062 ZAR on 2026-07-04: 18062 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2026-07-04. Plan: 2026-07-04:18062."
request_100,0,not_affordable,not_recommended,none,,none,"Requested 37114 ZAR on 2024-06-06: 0 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_101,0,not_affordable,not_recommended,none,,none,"Requested 143500 INR on 2025-11-03: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Requested 1716 EUR on 2026-04-05: 1716 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_with_plan, method installments). Full payment earliest safe: 2026-04-05. Plan: 2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88."
request_103,0,not_affordable,not_recommended,none,,none,"Requested 368300 INR on 2024-09-07: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_104,10028.88,not_affordable,not_recommended,none,,none,"Requested 17204 ZAR on 2025-02-04: 10028.88 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_105,0,not_affordable,not_recommended,none,,none,"Requested 53500 INR on 2026-06-08: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_106,754.84,not_affordable,not_recommended,none,,none,"Requested 2207.70 EUR on 2024-12-03: 754.84 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_107,493.81,not_affordable,not_recommended,none,,none,"Requested 2534.40 EUR on 2025-05-05: 493.81 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_108,4835.23,not_affordable,not_recommended,none,,none,"Requested 55308 ZAR on 2026-07-07: 4835.23 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_109,0,not_affordable,not_recommended,none,,none,"Requested 1863.40 EUR on 2024-03-04: 0 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Requested 22352 ZAR on 2025-08-06: 22352 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_with_plan, method installments). Full payment earliest safe: 2025-08-06. Plan: 2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Requested 16625000 IDR on 2026-04-03: 16625000 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2026-04-03. Plan: 2026-04-03:16625000."
request_112,0,not_affordable,not_recommended,none,,none,"Requested 271.70 EUR on 2024-06-05: 0 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_113,0,not_affordable,not_recommended,none,,none,"Requested 36500 INR on 2026-09-04: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_114,0,not_affordable,not_recommended,none,,none,"Requested 65300 INR on 2026-01-04: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_115,0,not_affordable,not_recommended,none,,none,"Requested 80500 INR on 2024-09-06: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_116,0,not_affordable,not_recommended,none,,none,"Requested 241200 INR on 2025-02-03: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_117,849.09,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833|reduce_to:event_10869:20.50,"Requested 880 EUR on 2026-07-05: 849.09 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_with_plan, method full_payment). Full payment earliest safe: 2026-07-15. Plan: 2026-07-05:880. Requires spending changes: stop:event_10833|reduce_to:event_10869:20.50."
request_118,0,not_affordable,not_recommended,none,,none,"Requested 738.10 EUR on 2024-12-07: 0 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_119,70046.23,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Requested 203500 INR on 2025-05-04: 70046.23 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_with_plan, method installments). Full payment earliest safe: 2025-06-15. Plan: 2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67."
request_120,0,not_affordable,not_recommended,none,,none,"Requested 7714000 IDR on 2026-04-06: 0 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_121,0,not_affordable,not_recommended,none,,none,"Requested 633.60 USD on 2024-03-03: 0 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Requested 20558000 IDR on 2025-08-05: 20558000 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_with_plan, method installments). Full payment earliest safe: 2025-08-05. Plan: 2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Requested 4076000 IDR on 2026-01-07: 4076000 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2026-01-07. Plan: 2026-01-07:4076000."
request_124,816.93,not_affordable,not_recommended,none,,none,"Requested 3104.20 EUR on 2024-06-04: 816.93 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_125,0,not_affordable,not_recommended,none,,none,"Requested 6468 ZAR on 2025-11-06: 0 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_126,82576.58,not_affordable,not_recommended,none,,none,"Requested 159600 INR on 2026-07-03: 82576.58 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_127,17204.74,affordable_later,wait,2024-09-15:23980,2024-09-15,none,"Requested 23980 ZAR on 2024-09-05: 17204.74 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_later, method wait). Full payment earliest safe: 2024-09-15. Plan: 2024-09-15:23980."
request_128,0,not_affordable,not_recommended,none,,none,"Requested 25168 ZAR on 2025-02-07: 0 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_129,0,not_affordable,not_recommended,none,,none,"Requested 2668.80 USD on 2026-04-04: 0 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_130,425.64,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Requested 1978.80 USD on 2024-12-06: 425.64 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_later, method wait). Full payment earliest safe: 2025-02-15. Plan: 2025-02-15:1978.80."
request_131,728.59,not_affordable,not_recommended,none,,none,"Requested 1855.20 USD on 2025-05-03: 728.59 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_132,0,not_affordable,not_recommended,none,,none,"Requested 379.86 USD on 2026-01-05: 0 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_133,8140579.15,not_affordable,not_recommended,none,,none,"Requested 15770000 IDR on 2024-03-07: 8140579.15 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_134,0,not_affordable,not_recommended,none,,none,"Requested 21831000 IDR on 2025-08-04: 0 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
